지반침하사고발생신고,,,,,,,,,,,,,,,,,,,
No,사고발생위치,사고발생일자,통보일자,발생원인구분,발생지역지질종류,발생규모폭(m),발생규모연장(m),발생규모깊이(m),피해사망자수(명),피해부상자수(명),피해차량대수(대),사고지점위도,사고지점경도,복구방법,복구상태,복구완료일자,최종수정일자,최종 수정자,최종 수정자 ID
167,강원특별자치도 원주시 개운동 452-6,2023-07-11 오전 00:00,2023-07-12 오후 02:42,하수관 손상,기타,2,2,2.8,0,0,0,37.3335535385,127.9478139415,우수암거 파손부위 보수조치,복구완료,2023-07-13 오전 00:00,2024-02-20 오전 10:04,신상기,ssk3325
168,강원특별자치도 강릉시 포남동 852,2023-07-09 오전 00:00,2023-07-11 오후 05:18,하수관 손상,,6,3,4,0,0,0,37.7646730718,128.9014856502,"상하수도관 복구완료
추후 성토 작업 및 콘크리트 재포장",복구완료,2023-08-31 오전 00:00,2024-02-20 오전 10:03,신상기,ssk3325
169,충청북도 제천시 장락동 장락동864,2023-07-03 오전 00:00,2024-01-22 오전 09:27,하수관 손상,기타,0.4,0.4,1.5,0,0,0,37.1500568474,128.2201124655,굴착 부분 되메우기 재시공 및 포장 완료,복구완료,2023-07-04 오전 00:00,2024-01-22 오전 09:27,,
170,대전광역시 중구 대사동 99-15번지,2023-07-03 오전 00:00,2024-01-11 오전 10:27,하수관 손상,기타,1.5,1,0.8,0,0,0,36.3169478148,127.4254234558,U형하수도 슬래브 재시공 후 포장 복구,복구완료,2023-07-04 오전 00:00,2024-01-11 오전 10:27,대전광역시 중구,dj3101
171,광주광역시 북구 두암동 594-1,2023-06-30 오전 00:00,2023-07-19 오후 06:31,다짐(되메우기) 불량,,0.3,0.3,1.5,0,0,0,35.1787361158,126.935265741,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-07-01 오전 00:00,2023-07-19 오후 06:31,,
172,경기도 이천시 관고동 134-9,2023-06-30 오전 00:00,2023-07-13 오후 01:27,다짐(되메우기) 불량,,2,13,0.3,0,0,0,37.288694663,127.4321408157,아스콘 재포장,복구완료,2023-07-03 오전 00:00,2023-07-13 오후 01:27,,
173,경기도 이천시 백사면 모전리 968-13,2023-06-30 오전 00:00,2023-07-13 오후 01:28,하수관 손상,,1,1,1.3,0,0,0,37.3071662395,127.4640957636,굴착하여 원인 파악한 후 원상 복구 조치,복구완료,2023-07-05 오전 00:00,2023-07-13 오전 12:41,,
174,광주광역시 광산구 월곡동 579-7,2023-06-30 오전 00:00,2023-07-14 오후 04:12,하수관 손상,,2,2,1.5,0,0,0,35.1686598687,126.8166501238,굴착 후 이음부분 몰탈처리 및 포장 복구 완료,복구완료,2023-07-03 오전 00:00,2023-07-14 오후 04:12,,
175,강원특별자치도 춘천시 효자동 159-47,2023-06-29 오전 00:00,2023-07-06 오후 05:15,기타매설물 손상,,0.5,1,1,0,0,0,37.8728723037,127.7372495398,다짐 및 시멘트 포장,복구완료,2023-06-30 오전 00:00,2024-02-16 오전 09:33,신상기,ssk3325
176,광주광역시 북구 풍향동 599-77,2023-06-28 오전 00:00,2023-06-28 오후 09:07,하수관 손상,,5.5,4,1.8,0,0,0,35.1644759527,126.9213170206,"상·하수도 복구 작업 완료 후 토류판 설치 및 되메우기하여 복구 완료 예정
  ※ 하수도: 파형관 접합, 상수도: 제수변 폐쇄로 단수 후 누수부위 보수
 ",복구완료,2023-06-30 오전 00:00,2023-11-28 오전 09:11,신상기,ssk3325
177,광주광역시 북구 매곡동 468-2,2023-06-28 오전 00:00,2023-07-24 오후 05:09,하수관 손상,,0.5,0.5,1,0,0,0,35.1879618541,126.898495214,"긴급보수공사

* 2023-07-25 긴급보수공사완료 (담당부서 : 안전총괄과 / 담당자 연락처 : 010-3337-8556)",복구완료,2023-06-28 오전 00:00,2023-07-25 오후 05:21,이상혁,kalis02
178,강원특별자치도 속초시 영랑동 148-38,2023-06-28 오전 00:00,2023-06-28 오후 05:29,굴착공사 부실,기타,4,1.5,1,0,0,0,38.2173138957,128.5937595044,"모르타르 주입, 차수 및 그라우팅 보강 등",복구완료,2023-07-01 오전 00:00,2024-01-12 오전 10:11,강원도 속초시,dkswjs2194
179,"경기도 이천시 창전동 147, 황수철 피자 앞",2023-06-28 오전 00:00,2023-07-13 오후 01:29,하수관 손상,,1.5,2,1.5,0,0,0,37.281575296,127.4469002837,굴착하여 원인 파악한 후 원상 복구 조치,복구완료,2023-07-05 오전 00:00,2023-07-13 오전 12:34,,
180,광주광역시 동구 서석동 421-1,2023-06-27 오전 00:00,2023-06-29 오후 04:12,하수관 손상,,6,5,1.9,0,0,0,35.1443619464,126.9257840839,되메우기 완료,복구완료,2023-06-28 오전 00:00,2023-06-29 오후 02:55,,
181,광주광역시 동구 서석동 421-1,2023-06-27 오전 00:00,2023-06-29 오후 02:51,하수관 손상,,2,5,1.6,0,0,0,35.1443575599,126.9261381355,하수암거 복구 및 되메우기 완료,복구완료,2023-06-28 오전 00:00,2023-06-29 오후 02:51,,
182,광주광역시 동구 산수동 133-1,2023-06-27 오전 00:00,2023-07-12 오전 11:37,하수관 손상,,1.3,1.3,1.3,0,0,0,35.1607722848,126.9327911354,노후 하수관로 교체공사 실시(L=28m) 및 보도 정비 완료,복구완료,2023-06-29 오전 00:00,2023-07-12 오전 11:37,,
183,경기도 화성시 반월동 736,2023-06-26 오전 00:00,2023-06-28 오전 09:58,다짐(되메우기) 불량,,0.7,18,1,0,0,0,37.2378127059,127.0619598148,해당 구간 통행 제한 임시 조치 및 중력식 옹벽 철거 후 재시공 계획,복구완료,2023-07-24 오전 00:00,2023-07-25 오전 09:01,이상혁,kalis02
184,서울특별시 구로구 온수동 65-3,2023-06-26 오전 00:00,2023-06-26 오후 04:03,하수관 손상,기타,0.2,0.65,0.8,0,1,0,37.4931997886,126.8176765788,"2023. 6.26. : 임시 안전조치 완료 및 부상자에 대해 영조물배상책임보험 안내 완료
2023. 6.27. : 하수박스 보수 예정 ",복구완료,2023-06-27 오전 00:00,2023-07-14 오후 03:21,신상기,ssk3325
185,경상북도 경주시 인왕동 76,2023-06-26 오전 00:00,2023-07-04 오후 07:20,다짐(되메우기) 불량,,0.5,2,0.1,0,0,0,35.8293490414,129.2282729271,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-06-26 오전 00:00,2023-07-04 오후 07:20,,
186,"경기도 이천시 중리동 378, 이천시청 주변 평산빌딩 앞",2023-06-26 오전 00:00,2023-07-13 오후 01:29,기타매설공사 부실,,1.2,1.5,1.5,0,0,0,37.2752659016,127.4364967584,굴착하여 원인 파악 후 원상 복구 조치,복구완료,2023-06-28 오전 00:00,2023-07-13 오전 12:35,경기도 이천시,sklee58
187,"경상남도 합천군 대병면 신성동길 1, 하금 식육식당 앞 소재지 도로",2023-06-23 오전 00:00,2023-06-23 오후 04:29,기타,,1.5,2,1.2,0,0,0,35.5227001381,128.0159405584,응급복구로 싱크홀 공간 위 포장 깨내고 빈공간에 골재채워서 응급 복구완료. ,복구완료,2023-06-30 오전 00:00,2023-09-26 오전 11:24,신상기,ssk3325
188,전북특별자치도 군산시 나운동 한밭1길 22,2023-06-19 오전 00:00,2023-07-07 오후 03:58,하수관 손상,기타,1,1,2,0,0,0,35.9614456782,126.6930023566,관로 및 포장복구 완료,복구완료,2023-06-19 오전 00:00,2023-07-07 오후 03:58,,
189,대전광역시 서구 가수원동 176-1,2023-06-19 오전 00:00,2023-07-10 오후 06:12,하수관 손상,충척층,0.5,1,1,0,0,0,36.3045539046,127.3579797673,하수관로 접합부 보수보강 및 도로복구,복구완료,2023-06-23 오전 00:00,2023-07-10 오후 06:12,,
190,경상북도 칠곡군 왜관읍 776-94번지 일원,2023-06-19 오전 00:00,2023-07-04 오후 01:12,기타매설물 손상,기타,1.5,1.7,1.6,0,0,0,35.9867256764,128.3974280601,우수관 복구 및 소파 보수 조치,복구완료,2023-07-31 오전 00:00,2023-07-04 오후 01:12,,
191,경기도 시흥시 월곶동 1004-4번지 외 3필지,2023-06-18 오전 00:00,2023-06-19 오후 06:37,굴착공사 부실,,4,10,0.4,0,0,0,37.3900054342,126.7413891584,"- GPR탐사 수행 완료(발견된 공동 없음)
- 누수 발생부분(GL-11m) S.G.R 그라우팅으로 차수보강
- 침하부분 굴착하여 지하매설물(상수관, 도시가스, 오수관) 담당자 입회 하에 이상유무 확인 및 뒤채움
- 뒤채움 시 시멘트 안정처리(soil cement)를 사용, 향후 활하중과 우수침투에 의한 침하를 방지하여 매설물 파손 예방",복구완료,2023-06-30 오전 00:00,2023-06-28 오전 09:28,신상기,ssk3325
192,광주광역시 광산구 신가동 930-11,2023-06-17 오전 00:00,2023-07-19 오후 06:26,다짐(되메우기) 불량,,0.3,0.3,1.5,0,0,0,35.1792027425,126.8242923514,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-06-17 오전 00:00,2023-07-19 오후 06:26,,
193,강원특별자치도 횡성군 우천면 우천면 우항리 758번지 동산연립 앞 도시계획도로(소로3-205호),2023-06-15 오전 00:00,2024-01-10 오후 05:57,하수관 손상,기타,1,1,0.5,0,0,0,37.458194288,128.0655422736,우수관로 연결부 보수 후 재 포장,복구완료,2023-06-30 오전 00:00,2024-02-02 오후 01:21,신상기,ssk3325
194,전라남도 완도군 신지면 송곡리 60-2,2023-06-15 오전 00:00,2023-07-20 오후 02:57,다짐(되메우기) 불량,기타,2,6,0.5,0,0,0,34.3391666808,126.7923695803,긴급 포스트홀 아스콘 보강,복구완료,2023-06-20 오전 00:00,2023-07-20 오후 02:57,,
195,광주광역시 동구 학동 114-5,2023-06-13 오전 00:00,2023-07-19 오후 06:24,다짐(되메우기) 불량,,0.2,0.2,2,0,0,0,35.1420362256,126.9205871348,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-06-13 오전 00:00,2023-07-19 오후 06:24,,
196,경기도 시흥시 월곶동 1004-5 인근,2023-06-13 오전 00:00,2023-06-14 오후 05:18,굴착공사 부실,,1.5,2,0.2,0,0,0,37.3902217375,126.7409807921,"기존 아스콘 철거 및 골재되메우기, 아스콘포장",복구완료,2023-06-13 오전 00:00,2023-06-21 오후 05:32,신상기,ssk3325
197,서울특별시 도봉구 쌍문동 315-8,2023-06-12 오전 00:00,2023-07-11 오전 09:56,하수관 손상,기타,1,1,4,0,0,0,37.6509035835,127.0286013609,복구 완료 및 2023.8월 경 굴착 후 하수관로 조사 ,복구완료,2023-06-12 오전 00:00,2023-07-11 오전 10:46,신상기,ssk3325
198,부산광역시 부산진구 부전동 서면로74,2023-06-11 오전 00:00,2023-07-20 오전 10:39,굴착공사 부실,기타,0.3,0.3,2,0,0,0,35.1574476652,129.0576766097,"확인굴착 후 되메우기 시행, 임시포장 완료",임시복구,2023-06-11 오전 00:00,2023-07-21 오전 12:12,신상기,ssk3325
199,서울특별시 중랑구 중화동 328-45,2023-06-11 오전 00:00,2023-06-12 오전 11:15,하수관 손상,충척층,2,1,1.5,0,1,0,37.5993065208,127.0733716341,굴착 및 하수관로 보수,복구완료,2023-06-11 오전 00:00,2023-06-12 오전 11:14,,
200,충청북도 충주시 목행동 850-46번지,2023-06-10 오전 00:00,2023-07-11 오후 02:29,기타매설공사 부실,기타,5,15,1.5,0,0,0,37.0073798663,127.9279215991,"우수관 교체, 흙 되메우기, 아스콘 재포장 ",복구완료,2023-06-28 오전 00:00,2023-07-19 오전 10:44,신상기,ssk3325
201,"경기도 안산시 단원구 초지동 초지동 634, 고가도로 -&gt; 주유삼거리 방향 1차선(위도 : 37.30232139, 경도 : 126.80345991)",2023-06-09 오전 00:00,2023-07-12 오전 09:35,하수관 손상,,1.2,1.6,0.6,0,0,0,37.3022944222,126.8034723511,록카드 임시복구 후 시설물관리기관(하수과)에 협조요청,임시복구,2023-06-09 오전 00:00,2023-07-12 오전 09:34,경기도 안산시,subeen27
202,충청북도 청주시 흥덕구 복대동 847-6,2023-06-06 오전 00:00,2023-06-07 오후 03:37,하수관 손상,,0.5,1,1,0,0,0,36.6351123634,127.4531315149,"- 현재 골재 포설로 임시 조치한 상태임.

- 파손 된 하수 관로 보수 등 항구 복구 예정.",복구완료,2023-06-13 오전 00:00,2024-01-10 오전 09:40,충청북도 청주시,cjlyjd00
203,전북특별자치도 군산시 미원동 월명로 380-2,2023-06-01 오전 00:00,2023-07-07 오후 03:55,기타,기타,2,5,2,0,0,0,35.9780852864,126.715735274,상판보수완료,복구완료,2023-06-04 오전 00:00,2023-07-27 오후 02:30,신상기,ssk3325
204,경기도 고양시 덕양구 관산동 910-55,2023-05-31 오전 00:00,2023-06-01 오후 04:31,기타매설공사 부실,,1.5,1,1,0,0,0,37.6878119414,126.8652171892,소방서 복구 예정,복구완료,2023-06-01 오전 00:00,2023-06-16 오전 12:35,신상기,ssk3325
205,대구광역시 달성군 유가읍 도의리 1091-3,2023-05-31 오전 00:00,2023-07-14 오전 10:42,기타,,0.7,0.5,1,0,0,0,35.6621350231,128.4513750579,굴착 후 되메우기,복구완료,2023-05-31 오전 00:00,2023-07-14 오전 10:42,,
206,경기도 고양시 일산서구 대화동 2607-4,2023-05-31 오전 00:00,2023-05-31 오후 06:54,굴착공사 부실,,4,6,0.25,0,0,0,37.6655530728,126.7483319766,개착 복구 예정,복구완료,2023-07-31 오전 00:00,2023-06-28 오후 02:51,신상기,ssk3325
207,경기도 수원시 권선구 당수동 376-7,2023-05-26 오전 00:00,2023-06-01 오전 09:21,굴착공사 부실,,4.5,3,0.06,0,0,0,37.2827463107,126.9503854638,"1. 비개착 박스 라이닝 설치
2. 박스 상부 측면 그라우팅 보강
3. 계측기 재설치
4. 고속도로 포장 ",복구완료,2023-07-07 오전 00:00,2023-06-21 오후 03:25,신상기,ssk3325
208,경기도 군포시 당정동 994-2,2023-05-20 오전 00:00,2023-05-26 오전 09:08,하수관 손상,기타,2.2,2.2,2.9,0,0,0,37.3470297113,126.9536814508,하수관로 손상으로 사고지점 굴착하여 손상된 하수관로 제거 후 신설관로 시공하여 지반 및 도로복구,복구완료,2023-05-25 오전 00:00,2023-05-26 오전 09:08,경기도 군포시,softdad
209,경기도 부천시 괴안동 100-29,2023-05-20 오전 00:00,2023-06-08 오전 11:36,하수관 손상,,1,1,2,0,0,0,37.4801500554,126.8109870143,하수관로(흄관) 교체 및 포장 복구,복구완료,2023-05-23 오전 00:00,2023-06-08 오전 11:36,,
210,광주광역시 광산구 월곡동 489-20,2023-05-20 오전 00:00,2023-07-19 오후 06:21,다짐(되메우기) 불량,,0.5,0.4,1,0,0,0,35.1753950923,126.8083346784,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-05-20 오전 00:00,2023-07-19 오후 06:21,,
211,부산광역시 부산진구 가야동 가야대로532,2023-05-19 오전 00:00,2023-07-20 오전 10:36,다짐(되메우기) 불량,기타,1,1,0.3,0,0,0,35.1535133448,129.0301615897,"확인굴착 진행 후, 되메우기 및 임시포장 완료",복구완료,2023-05-21 오전 00:00,2023-07-20 오전 10:36,,
212,경상북도 경주시 동천동 동천로 78번길 6,2023-05-19 오전 00:00,2023-07-04 오후 07:21,다짐(되메우기) 불량,,0.5,3,0.1,0,0,0,35.8547230168,129.2271276239,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-05-19 오전 00:00,2023-07-04 오후 07:16,,
213,광주광역시 광산구 오선동 548-5,2023-05-18 오전 00:00,2023-07-14 오후 04:13,하수관 손상,,2,2,1.5,0,0,0,35.2061118899,126.8125041724,하수관로 교체 및 포장 복구 완료,복구완료,2023-05-24 오전 00:00,2023-07-14 오후 04:10,,
214,대구광역시 달성군 다사읍 죽곡리 577-2,2023-05-16 오전 00:00,2023-07-14 오전 10:36,기타,,1,1.5,1.5,0,0,0,35.8451673727,128.4674189249,굴착 후 다짐,복구완료,2023-05-16 오전 00:00,2023-12-27 오전 10:23,,hong225
215,광주광역시 서구 화정동 863,2023-05-13 오전 00:00,2023-07-19 오후 06:00,다짐(되메우기) 불량,,0.4,0.5,1.5,0,0,0,35.1426684689,126.8747386425,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-05-13 오전 00:00,2023-07-19 오후 06:00,,
216,대전광역시 서구 괴정동 67-7번지,2023-05-12 오전 00:00,2023-07-10 오후 06:05,하수관 손상,충척층,1,1.5,0.5,0,0,0,36.3407021703,127.3804490284,흄관 접합부 보수 및 도로복구,복구완료,2023-05-15 오전 00:00,2023-07-10 오후 06:05,,
217,대구광역시 북구 팔달동 524-32,2023-05-10 오전 00:00,2023-05-11 오전 11:03,하수관 손상,,3,2,4.2,0,0,0,35.8973469657,128.5482328752,"23.5.10. 17:30 북구청 싱크홀 민원접수
23.5.10. 18:30 현장 출동 및 확인(대구시 상수도사업소 및 북구청)
23.5.10. 18:30 인근 교통 통제(경찰, 1개 차로 및 주변 인도)
23.5.10. 19:00~24:00 하수박스 육안확인 및 CCTV 촬영 조사
23.5.11. 07:00 누수 지점 긴급 복구 시행
23.5.11. 16:00 긴급 복구 완료(예정)",복구완료,2023-05-11 오전 00:00,2023-05-16 오후 02:51,신상기,ssk3325
218,경기도 이천시 호법면 동산리 309,2023-05-10 오전 00:00,2023-07-13 오후 01:28,다짐(되메우기) 불량,,3,43,0.5,0,0,0,37.2128029363,127.4013485607,아스콘 재포장,복구완료,2023-05-15 오전 00:00,2023-07-13 오전 12:48,,
219,경기도 포천시 화현면 화현리 309-1번지 일원,2023-05-09 오전 00:00,2023-05-10 오후 04:50,기타매설물 손상,기타,1.5,1.5,1,0,0,0,37.9093014154,127.3001604075,국토안전관리원 조사 후 복구 시행,복구완료,2023-07-31 오전 00:00,2023-05-10 오후 04:50,,
220,경기도 부천시 중동 1033-5,2023-05-08 오전 00:00,2023-05-11 오후 04:32,기타매설물 손상,,2,5,1.5,0,0,0,37.5048189726,126.7645305074,유실 부분 흙채움 및 보도 복구,복구완료,2023-05-09 오전 00:00,2023-05-11 오후 04:32,,
221,서울특별시 중랑구 신내동 63-17(중랑공영차고지),2023-05-06 오전 00:00,2023-05-09 오전 09:29,굴착공사 부실,기타,1,1,0.6,0,1,0,37.6100987366,127.110257964,토사 되메우기,복구완료,2023-05-06 오전 00:00,2023-05-06 오후 02:52,,
222,광주광역시 동구 학동 994,2023-05-05 오전 00:00,2023-07-19 오후 05:57,다짐(되메우기) 불량,,0.3,0.3,1.5,0,0,0,36.3036185654,127.9620556955,굴찹복구 다짐 미흡으로 인한 장기침하,복구완료,2023-05-05 오전 00:00,2023-07-19 오후 05:57,,
223,대전광역시 서구 탄방동 63-12번지,2023-05-04 오전 00:00,2023-07-10 오후 06:02,하수관 손상,충척층,1,1,1.5,0,0,0,36.3441810983,127.3925502107,다중벽관 교체 및 맨홀접합부 콘크리트 보강,복구완료,2023-05-08 오전 00:00,2023-07-10 오후 06:01,,
224,강원특별자치도 속초시 영랑동 148-38,2023-05-04 오전 00:00,2023-05-04 오후 08:25,굴착공사 부실,기타,1,1,3,0,0,0,38.217491965,128.5935469393,"모르타르 주입, 차수 및 그라우팅 보강 등",복구완료,2023-05-05 오전 00:00,2024-01-12 오전 10:11,강원도 속초시,dkswjs2194
225,광주광역시 남구 진월동 진월동291-1 (서문대로701),2023-05-04 오전 00:00,2023-10-18 오전 11:10,기타매설물 손상,,1.5,2,1.5,0,1,1,35.1219385318,126.8980505847,"굴착 후 우수그레이팅 연결관200mm 복구 후 다짐
",복구완료,2023-05-04 오전 00:00,2023-10-16 오전 10:58,광주광역시,jyuuus14
226,대전광역시 서구 둔산동 1142번지,2023-05-02 오전 00:00,2023-07-10 오후 05:58,하수관 손상,충척층,1.5,1,1,0,0,0,36.3449853222,127.3802418278,흄관 접합부 보수 및 도로복구,복구완료,2023-05-04 오전 00:00,2023-07-10 오후 05:58,,
227,경상남도 진주시 하대동 하대동 169-1,2023-04-27 오전 00:00,2023-07-11 오후 02:12,하수관 손상,,0.5,0.5,1.5,0,0,0,35.1945690292,128.1274514322,폐수관 보수 및 소파 보수 완료,복구완료,2023-04-27 오전 00:00,2023-07-11 오후 02:11,,
228,광주광역시 광산구 장덕동 992-8,2023-04-24 오전 00:00,2023-07-14 오후 04:14,하수관 손상,,2,2,1.5,0,0,0,35.1887132192,126.8093283006,하수관로 교체 및 포장 복구 완료,복구완료,2023-05-15 오전 00:00,2023-07-14 오후 04:02,,
229,광주광역시 서구 양동 295,2023-04-20 오전 00:00,2023-07-25 오전 11:10,하수관 손상,,1,1,0.5,0,0,1,35.1547718354,126.8985922516,"하수관(흄관 D400mm, L=5m) 교체, 아스콘 포장 복구",복구완료,2023-04-21 오전 00:00,2023-07-27 오전 09:36,신상기,ssk3325
230,강원특별자치도 고성군 토성면 봉포리 377번지,2023-04-19 오전 00:00,2023-07-14 오후 02:22,다짐(되메우기) 불량,기타,0.5,30,0.1,0,0,0,38.2491328836,128.5613627524,유실 구간 흙채움 및 다짐공사 실시,복구완료,2023-05-10 오전 00:00,2023-08-01 오전 12:59,신상기,ssk3325
231,경상북도 구미시 구포동 구포동 645-1,2023-04-14 오전 00:00,2023-07-05 오전 11:05,다짐(되메우기) 불량,,1,0.5,1,0,0,0,36.1278318538,128.4102497352,흙 다지기 및 되메우기 재시공 및 포장복구 완료,복구완료,2023-04-14 오전 00:00,2023-07-05 오전 11:05,,
232,서울특별시 송파구 풍납동 올림픽대로(공항방향) 천호대교 끝 300m 4차로 우측,2023-04-12 오전 00:00,2023-04-17 오전 10:04,다짐(되메우기) 불량,,2,1.5,2.5,0,0,0,37.5391164695,127.1156122411,되메우기 및 다짐,복구완료,2023-04-12 오전 00:00,2023-05-31 오후 03:10,신상기,ssk3325
233,경상남도 사천시 곤양면 흥사리 273번지,2023-04-12 오전 00:00,2023-10-18 오전 11:07,다짐(되메우기) 불량,,2.5,2.5,1,0,0,0,35.0920307119,128.014653878,긴급보수 공사 완료,복구완료,2023-10-23 오전 00:00,2024-01-18 오전 09:31,경상남도 사천시,mpi1020
234,부산광역시 사하구 장림동 1086-3번지 선 도로,2023-04-11 오전 00:00,2023-04-13 오후 05:47,다짐(되메우기) 불량,기타,0.8,1.3,0.4,0,0,0,35.0779476268,128.9533316201,되메우기 및 다짐기계로 다진 후  아스팔트 임시포장,복구완료,2023-04-13 오전 00:00,2023-07-21 오전 12:17,신상기,ssk3325
235,서울특별시 서대문구 충정로3가 368,2023-04-06 오전 00:00,2023-04-14 오전 11:11,다짐(되메우기) 불량,,1.5,1.5,0.2,0,0,0,37.5598846602,126.9629055428,2023.4.8. 서부도로사업소 항구복구 ,복구완료,2023-04-08 오전 00:00,2023-04-17 오후 03:10,신상기,ssk3325
236,경기도 고양시 일산서구 일산동 583-67,2023-04-04 오전 00:00,2023-04-05 오전 11:32,하수관 손상,,2,2.2,1.4,0,0,0,37.6887236158,126.7769063177,복구완료,복구완료,2023-04-04 오전 00:00,2023-04-05 오전 11:32,,
237,강원특별자치도 춘천시 효자동 159-21,2023-04-04 오전 00:00,2023-04-11 오전 09:09,다짐(되메우기) 불량,,1.5,1.5,1.5,0,0,0,37.8721128873,127.7379829455,되메우기,임시복구,2023-04-04 오전 00:00,2024-02-16 오전 09:34,신상기,ssk3325
238,서울특별시 은평구 갈현동 389-16,2023-03-31 오전 00:00,2023-04-01 오후 01:27,다짐(되메우기) 불량,기타,2,2,4,0,0,0,37.6187575887,126.9202267057,레미콘타설,복구완료,2023-03-31 오전 00:00,2023-04-01 오후 01:27,,
239,강원특별자치도 속초시 조양동 1452,2023-03-31 오전 00:00,2023-04-10 오후 04:57,굴착공사 부실,기타,4,4,0.6,0,0,0,38.190093679,128.6017893676,"흙막이 배면: 되메우기(마사토+시멘트)
흙막이 내측: 부직포삽입 및 차수그라우팅 보강",복구완료,2023-03-31 오전 00:00,2023-04-13 오후 05:20,신상기,ssk3325
240,부산광역시 사상구 감전동 새벽로 160,2023-03-24 오전 00:00,2023-03-28 오후 03:46,다짐(되메우기) 불량,,1,1.5,0.5,0,0,2,35.1554248228,128.9832382652,"굴착지 하부 지장물(상수도관, 통신관 등)로 인해 다짐기계를 이용한 다짐이 불가함에 따라 모래를 이용한 물다짐 후 아스팔트 임시포장 ",복구완료,2023-03-27 오전 00:00,2023-03-28 오후 03:35,,
241,강원특별자치도 고성군 토성면 도원리 산148-3,2023-03-22 오전 00:00,2023-07-14 오후 02:17,다짐(되메우기) 불량,기타,0.3,0.3,2,0,0,0,38.2702242844,128.4933204738,유실 구간 흙채움 및 다짐공사 실시,복구완료,2023-03-23 오전 00:00,2023-08-01 오후 01:10,신상기,ssk3325
242,강원특별자치도 영월군 상동읍 구래리 98-60,2023-03-17 오전 00:00,2023-07-14 오후 03:32,기타매설물 손상,기타,12,12,0.3,0,0,0,37.1376827645,128.8372060163,"맨홀주변부 커팅 후 재 포장
",복구완료,2023-05-30 오전 00:00,2023-07-14 오후 03:31,,
243,경기도 시흥시 정왕동 2605-6,2023-03-15 오전 00:00,2023-04-24 오후 04:35,다짐(되메우기) 불량,,1,1,1.2,0,0,7,37.3253833566,126.69986239,침하발생구간 긴급 및 임시복구 조치(골재채움),복구완료,2023-03-16 오전 00:00,2023-04-24 오후 04:35,경기도 시흥시,llight2229
244,광주광역시 서구 화정동 화정동1035,2023-03-14 오전 00:00,2023-10-18 오전 11:10,기타매설물 손상,,1,2,1.5,0,0,0,35.1402158547,126.8818711168,"우수맨홀 주변에 아파트에서 나오는 구관300mm 접합불량으로 동공발생 
",복구완료,2023-03-28 오전 00:00,2023-10-16 오전 10:59,광주광역시,jyuuus14
245,경상북도 구미시 원평동 원평동 190-4,2023-03-14 오전 00:00,2023-07-05 오전 11:13,다짐(되메우기) 불량,,0.03,0.05,1,0,0,0,36.13182308,128.335230989,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,복구완료,2023-03-15 오전 00:00,2023-07-05 오전 11:13,,
246,서울특별시 중구 남대문로5가 521,2023-03-11 오전 00:00,2023-04-24 오후 03:39,하수관 손상,,2,2,1.5,0,0,0,37.5541006775,126.9734792835,서부도로사업소 도로보수과 임시복구,복구완료,2023-03-13 오전 00:00,2023-03-13 오후 05:21,,
247,경상북도 구미시 해평면 해평면 낙성리 58-3,2023-03-09 오전 00:00,2023-07-05 오전 10:59,다짐(되메우기) 불량,,0.1,0.05,1,0,0,0,36.1942364183,128.3925868198,흙 다지기 및 되메우기 재시공 및 포장복구 완료,복구완료,2023-03-14 오전 00:00,2023-07-05 오전 10:58,,
248,서울특별시 용산구 도원동 도원삼성래민안 아파트 정문,2023-03-07 오전 00:00,2023-03-09 오후 03:23,하수관 손상,기타,1,1,1.5,0,1,1,37.5397339165,126.9569521164,하수관 파손부위 복구공사(하수시설물 연간단가) ,복구완료,2023-03-08 오전 00:00,2023-03-09 오후 03:23,,
249,경상북도 경산시 하양읍 금락리 373-10,2023-03-05 오전 00:00,2023-03-08 오후 03:33,상수관 손상,,0.5,2,0.2,0,0,0,35.9081766508,128.8125958501,주철관 수리 후 혼합골재 매설 및 다짐 후 부직포 설치,복구완료,2023-03-07 오전 00:00,2023-03-08 오후 03:33,,
250,광주광역시 남구 봉선동 봉선동164-14,2023-03-02 오전 00:00,2023-10-13 오전 09:22,기타매설물 손상,,1,1,1,0,0,0,35.126901391,126.9144561918,"우수맨홀 주변 굴착 후 다짐, 우수맨홀 상판 슬래브시공 후 철괴 교체
",복구완료,2023-03-03 오전 00:00,2023-10-13 오전 09:22,,
251,강원특별자치도 강릉시 송정동 187-4번지 일원,2023-02-27 오전 00:00,2023-02-28 오후 05:47,다짐(되메우기) 불량,,3,3,1.5,0,0,1,37.7748256383,128.9326486155,"금일 22시경 긴급복구 완료
추후 항구복구 실시 예정",복구완료,2023-02-28 오전 00:00,2023-08-01 오후 01:15,신상기,ssk3325
